Age,Gender,Income,Loan_Amount,Credit_Score,Past_Defaults,Loan_Status
21,Male,69102,45121,521,0,0
36,Female,44877,20165,432,0,0
29,Male,50499,37826,597,0,0
49,Male,96731,12431,790,0,0
47,Male,86224,6165,561,0,0
57,Female,92334,13996,641,0,0
45,Female,94189,33556,823,0,0
67,Female,104343,4583,605,0,0
60,Male,50176,40966,420,1,1
37,Female,32051,28519,322,1,1
33,Female,63447,36185,510,1,1
77,Male,22200,33380,656,0,0
74,Female,25622,7347,826,0,0
71,Male,42183,22429,638,1,0
37,Male,82921,21842,608,0,0
33,Male,42961,6709,837,1,0
45,Female,114904,14241,373,0,0
76,Male,95470,33756,438,0,0
69,Male,58672,42136,433,0,0
50,Male,36210,9293,702,0,0
67,Female,88439,11893,437,0,0
79,Male,115094,23731,305,0,0
21,Male,102807,22427,331,0,0
49,Female,83550,25109,514,0,0
19,Female,37801,1609,478,0,0
47,Male,107649,40840,318,0,0
61,Female,53101,27984,474,1,1
77,Female,78878,18806,737,0,0
62,Male,50334,4408,386,0,0
66,Male,23081,40010,642,0,0
22,Male,52499,39275,493,0,0
21,Male,85099,10717,603,0,0
30,Female,83321,42930,612,1,0
43,Female,105838,3117,474,0,0
76,Male,97912,33486,622,1,0
22,Male,76372,39197,640,1,0
49,Female,67024,12666,437,0,0
22,Male,108795,40804,527,0,0
51,Male,33799,45519,754,1,0
74,Male,72888,30403,392,0,0
46,Male,80103,37807,848,0,0
35,Male,76296,26825,828,0,0
37,Female,65431,31540,533,1,1
66,Male,24933,36371,728,0,0
61,Female,62999,23207,744,0,0
36,Male,74416,36591,418,1,1
74,Female,86786,43939,845,0,0
65,Female,53295,35355,704,0,0
57,Female,87323,36935,696,0,0
62,Female,23120,36453,817,0,0
53,Male,75235,43239,607,0,0
43,Female,113061,3891,334,0,0
31,Male,117099,42051,480,0,0
60,Male,67555,6416,454,0,0
45,Male,21487,3780,396,0,0
26,Male,95287,15489,571,0,0
23,Male,93659,24435,404,0,0
74,Female,56781,3949,834,0,0
21,Female,46605,12479,542,0,0
58,Female,100955,23113,846,0,0
36,Female,113633,5725,520,0,0
32,Male,59160,41628,469,0,0
34,Male,28786,40490,383,0,0
38,Male,61320,14641,348,0,0
51,Male,82901,11930,482,0,0
45,Female,103998,49457,590,0,0
76,Male,59929,18403,762,1,0
66,Female,96467,9035,825,0,0
28,Female,114507,23468,763,0,0
63,Male,74448,44487,479,0,0
28,Male,30538,34887,832,1,0
24,Female,59547,39506,648,0,0
27,Female,42999,14448,491,1,0
66,Male,59820,9822,670,0,0
38,Male,20042,34401,447,0,0
65,Male,65875,5858,786,0,0
74,Female,98977,18980,644,0,0
24,Male,66069,39533,318,1,1
74,Female,114252,45166,832,0,0
74,Male,84924,43041,794,0,0
68,Male,79807,4810,828,0,0
65,Female,28973,42329,622,0,0
79,Female,97562,4292,838,0,0
26,Female,26039,6665,443,0,0
69,Male,67201,4174,536,0,0
53,Female,89013,36903,638,0,0
24,Male,82384,31582,425,0,0
72,Female,24105,10023,755,0,0
43,Female,42766,15431,398,1,0
79,Male,46320,20154,837,0,0
75,Male,35274,17859,811,0,0
50,Female,28760,12541,848,1,0
53,Male,75755,44489,594,0,0
63,Female,38959,3257,370,0,0
40,Male,51292,7765,847,0,0
61,Female,92938,25529,607,0,0
54,Male,85744,35521,560,0,0
36,Female,49862,45331,588,0,0
47,Female,102957,31956,752,1,0
33,Male,23009,38483,510,0,0
20,Male,87106,34465,842,0,0
30,Female,84595,21968,647,1,0
20,Female,77046,38600,371,0,0
37,Male,66420,3737,771,0,0
32,Female,25027,3507,655,0,0
68,Female,45215,39039,707,0,0
46,Female,83880,30345,657,0,0
56,Male,102355,2782,802,0,0
74,Female,67173,32650,575,0,0
43,Female,72772,30679,750,1,0
25,Female,35425,46621,359,0,0
67,Male,113777,23457,826,0,0
